기간	자치구	혼인건수	조혼인율
2016	강서구	4,111	7
2016	구로구	2,674	6.4
2016	금천구	1,324	5.7
2016	영등포구	2,609	7.1
2016	동작구	2,514	6.4
2016	관악구	3,537	7.1
2016	서초구	2,676	6.1
2016	강남구	3,032	5.4
2016	송파구	4,102	6.3
2016	강동구	2,399	5.4
2017	합계	53,776	5.5
2017	종로구	700	4.7
2017	중구	792	6.5
2017	용산구	1,357	6.2
2017	성동구	2,096	7.1
2017	광진구	2,082	5.9
2017	동대문구	1,657	4.8
2017	중랑구	2,302	5.7
2017	성북구	1,917	4.4
2017	강북구	1,436	4.5
2017	도봉구	1,543	4.5
2017	노원구	2,420	4.4
2017	은평구	2,331	4.8
2017	서대문구	1,546	5
2017	마포구	2,294	6.2
2017	양천구	2,021	4.3
2017	강서구	4,069	6.9
2017	구로구	2,460	6
2017	금천구	1,439	6.2
2017	영등포구	2,539	7
2017	동작구	2,282	5.8
2017	관악구	3,205	6.4
2017	서초구	2,288	5.2
2017	강남구	2,677	4.9
2017	송파구	3,896	6
2017	강동구	2,427	5.6
2018	합계	52,005	5.4
2018	종로구	676	4.6
2018	중구	778	6.4
2018	용산구	1,400	6.4
2018	성동구	2,000	6.6
2018	광진구	2,164	6.2
2018	동대문구	1,747	5.1
2018	중랑구	2,253	5.6
2018	성북구	1,919	4.4
2018	강북구	1,344	4.3
2018	도봉구	1,471	4.4
2018	노원구	2,240	4.1
2018	은평구	2,364	5
2018	서대문구	1,393	4.6
2018	마포구	2,229	6.1
2018	양천구	1,957	4.2
2018	강서구	3,835	6.5
2018	구로구	2,286	5.7
2018	금천구	1,269	5.5
2018	영등포구	2,664	7.4
2018	동작구	2,097	5.4
2018	관악구	3,090	6.2
2018	서초구	2,234	5.2
2018	강남구	2,519	4.7
2018	송파구	3,705	5.6
2018	강동구	2,371	5.6
2019	합계	48,261	5
2019	종로구	590	4
2019	중구	722	5.9
2019	용산구	1,303	6
2019	성동구	1,758	5.9
2019	광진구	1,893	5.4
2019	동대문구	1,613	4.7
2019	중랑구	2,031	5.2
2019	성북구	1,880	4.4
2019	강북구	1,260	4.1
2019	도봉구	1,316	4
2019	노원구	2,138	4
2019	은평구	2,178	4.6
2019	서대문구	1,440	4.8
2019	마포구	2,029	5.5
2019	양천구	1,705	3.7
2019	강서구	3,589	6.1
2019	구로구	2,063	5.1
2019	금천구	1,243	5.4
2019	영등포구	2,449	6.8
2019	동작구	2,057	5.3
2019	관악구	2,802	5.7
2019	서초구	2,084	4.9
2019	강남구	2,338	4.4
2019	송파구	3,651	5.5
2019	강동구	2,129	5
